#{"t_start": 1618391887.279631, "env_id": "LunarLanderContinuous-v2"}
r,l,t
-198.230488,182,2.590739
-396.351354,55,3.991717
-733.855037,82,4.468085
-555.114774,55,5.122685
-504.824227,66,5.59749
-798.762313,89,6.162146
-700.320748,113,6.898286
-60.217478,1000,13.546525
-152.40412,161,20.963835
-317.005414,290,22.594749
-237.744263,175,24.900186
-210.508657,125,26.295722
-55.175711,192,27.429375
-209.564358,112,28.946162
-187.300289,111,29.971143
-351.89051,134,30.9848
-269.405062,114,32.115248
-689.04236,242,33.317932
-147.634935,180,35.301933
-121.267127,109,36.731041
-193.148622,381,38.278042
-50.946391,111,41.384051
-159.560004,152,42.37304
-262.932364,151,43.667182
-338.477646,316,45.358294
-112.192173,194,47.922148
-159.507973,200,49.653006
-407.493431,171,51.321893
-27.559586,148,52.726985
-254.374099,184,54.001877
-37.175886,143,55.505975
-58.845984,262,56.911211
-20.642417,145,59.01929
41.626767,196,60.418048
-352.335032,327,62.480556
-243.960345,369,65.606613
-47.157213,273,68.706656
-588.748068,892,73.003121
-413.184895,362,80.306473
-529.789586,471,84.149606
-326.581371,524,88.989161
3.829384,269,93.365402
-355.762697,344,96.031671
3.156351,367,99.306626
-191.548521,522,103.425028
-102.826544,367,108.018376
115.705743,855,115.219155
-430.60057,512,122.982545
-145.191929,661,128.874202
-257.200247,846,137.507318
-4.543451,1000,148.682991
29.457832,1000,159.410124
51.873105,1000,169.820607
-240.809236,990,181.027321
-50.214099,1000,192.157894
-27.294044,475,200.56434
-56.741497,299,204.552522
-29.560329,1000,212.298707
-153.737028,676,222.475395
-149.208547,142,227.703103
-164.075068,225,229.083151
8.01572,1000,236.549426
-220.385904,588,245.633078
-245.448473,268,250.523847
-337.160028,96,252.613602
-220.281416,574,254.940487
-284.960128,285,259.659001
-44.660812,1000,266.046731
-48.843133,1000,279.341225
-36.175547,1000,291.359964
-40.921527,1000,304.754776
-202.412874,138,312.842577
-64.203616,1000,320.505559
42.549418,149,328.360062
-101.264469,212,329.82078
-105.907612,897,334.439848
19.495072,1000,346.695302
-111.438135,1000,356.768852
74.152996,1000,370.256219
18.047104,1000,383.079202
-70.194119,1000,393.955609
-13.742829,132,401.936337
-199.719124,1000,405.649513
-43.986882,1000,417.769979
-12.446588,90,425.864803
13.528761,1000,432.437186
-30.621753,1000,445.040432
-7.298108,1000,457.618235
-483.008277,927,470.679521
4.590286,1000,481.02108
-18.525656,1000,493.819167
-51.160663,1000,504.757779
-11.309976,1000,515.724486
-113.587374,618,525.751541
-139.390588,1000,534.418466
23.272127,251,543.975405
-4.157109,1000,551.008855
-66.227284,1000,565.799546
-59.25124,1000,580.776092
-21.927854,193,590.229699
-69.263719,194,592.215628
-65.409268,1000,597.714326
-118.243799,868,610.968937
-91.628631,1000,624.378984
-234.920325,319,633.886203
-107.827666,97,636.81192
10.567399,97,637.734172
-58.767018,1000,641.322847
-69.665439,352,651.163847
-46.117818,1000,658.17212
-93.120798,309,667.122779
243.845482,381,670.52507
-274.247809,201,674.032667
-129.936285,1000,679.909139
-135.147208,1000,691.079015
-305.700897,805,702.921609
98.092981,814,712.910076
267.404502,269,720.186763
253.083294,369,723.279808
-139.817615,1000,730.004286
-154.156185,191,738.639422
-7.562612,191,740.433155
224.025358,502,742.996674
-15.518033,121,747.387709
229.546709,647,750.257187
231.971079,561,757.082492
255.537917,473,762.75874
234.084028,544,768.378567
202.467124,334,773.385868
194.005102,459,777.290632
-87.605446,169,781.45609
-84.701535,137,783.013436
-40.303994,119,784.335949
195.900787,632,786.612751
-70.921711,142,792.005819
174.789413,608,794.832181
-35.664666,1000,803.889167
-31.219159,112,812.331907
-29.661628,118,813.412436
188.800896,406,815.35814
252.024463,567,820.401988
262.258663,220,825.362619
-30.926068,92,827.262056
195.258497,436,828.862922
223.848497,282,833.074183
-41.03649,121,835.511538
216.443494,280,837.099198
233.737486,318,840.028999
-35.078012,107,842.777734
-24.44449,97,843.750968
-185.208512,722,846.144383
263.309623,448,852.999853
288.111202,252,857.231664
-20.789952,96,859.434136
-173.512472,618,861.705445
-45.009988,113,866.988624
36.471442,132,868.078203
-59.587727,94,869.323253
259.177739,308,870.637583
22.078339,117,873.408872
-45.709771,114,874.50907
-59.454838,126,875.637148
250.432824,418,877.697149
23.126533,117,881.472543
-31.870511,91,882.546552
281.382242,219,883.582077
202.572968,515,886.438718
-15.071855,131,890.82535
-26.729556,102,892.032046
-2.253685,127,893.03343
-45.920717,90,894.182086
82.505318,1000,898.274779
-3.878952,95,906.857774
-27.665189,1000,911.661278
132.35247,1000,922.664205
-15.495043,89,931.07496
-29.880196,261,932.260407
-59.216646,1000,938.993696
-236.46378,178,947.828608
-33.000338,114,949.478908
8.533855,99,950.547877
-44.842916,148,951.557254
219.16624,333,953.346799
228.137713,390,956.970393
-55.71423,163,960.399405
-19.574232,1000,964.314012
239.494511,238,973.199325
7.719007,274,975.6568
254.48958,215,978.298254
242.873945,249,980.520523
157.027706,453,983.75912
158.380406,691,989.918515
6.211409,143,995.8868
10.782764,285,997.557851
255.953948,248,1000.312428
-268.249344,417,1003.40868
166.529274,585,1008.831225
-19.802721,1000,1017.303594
7.539308,1000,1031.411334
232.602641,319,1040.291902
2.376423,1000,1047.231376
-31.333692,1000,1061.795861
123.601857,1000,1072.699066
-4.667381,266,1081.498964
269.870421,232,1084.152971
-3741.043425,642,1087.452052
-11.144657,1000,1097.235992
181.72058,400,1106.464206
22.562253,1000,1113.339468
218.535274,461,1123.127585
248.120336,326,1127.466071
-32.719812,359,1130.628859
177.983528,405,1134.138173
-40.386511,371,1137.936306
234.163392,291,1141.266582
